# kx ky kz weight
0.00000000 0.00000000 0.00000000 1.00000000
0.10000000 0.00000000 0.00000000 6.00000000
0.20000000 0.00000000 0.00000000 6.00000000
0.30000000 0.00000000 0.00000000 6.00000000
0.40000000 0.00000000 0.00000000 6.00000000
0.50000000 0.00000000 0.00000000 3.00000000
0.10000000 0.10000000 0.00000000 12.00000000
0.20000000 0.10000000 0.00000000 24.00000000
0.30000000 0.10000000 0.00000000 24.00000000
0.40000000 0.10000000 0.00000000 24.00000000
0.50000000 0.10000000 0.00000000 12.00000000
0.20000000 0.20000000 0.00000000 12.00000000
0.30000000 0.20000000 0.00000000 24.00000000
0.40000000 0.20000000 0.00000000 24.00000000
0.50000000 0.20000000 0.00000000 12.00000000
0.30000000 0.30000000 0.00000000 12.00000000
0.40000000 0.30000000 0.00000000 24.00000000
0.50000000 0.30000000 0.00000000 12.00000000
0.40000000 0.40000000 0.00000000 12.00000000
0.50000000 0.40000000 0.00000000 12.00000000
0.50000000 0.50000000 0.00000000 3.00000000
0.10000000 0.10000000 0.10000000 8.00000000
0.20000000 0.10000000 0.10000000 24.00000000
0.30000000 0.10000000 0.10000000 24.00000000
0.40000000 0.10000000 0.10000000 24.00000000
0.50000000 0.10000000 0.10000000 12.00000000
0.20000000 0.20000000 0.10000000 24.00000000
0.30000000 0.20000000 0.10000000 48.00000000
0.40000000 0.20000000 0.10000000 48.00000000
0.50000000 0.20000000 0.10000000 24.00000000
0.30000000 0.30000000 0.10000000 24.00000000
0.40000000 0.30000000 0.10000000 48.00000000
0.50000000 0.30000000 0.10000000 24.00000000
0.40000000 0.40000000 0.10000000 24.00000000
0.50000000 0.40000000 0.10000000 24.00000000
0.50000000 0.50000000 0.10000000 6.00000000
0.20000000 0.20000000 0.20000000 8.00000000
0.30000000 0.20000000 0.20000000 24.00000000
0.40000000 0.20000000 0.20000000 24.00000000
0.50000000 0.20000000 0.20000000 12.00000000
0.30000000 0.30000000 0.20000000 24.00000000
0.40000000 0.30000000 0.20000000 48.00000000
0.50000000 0.30000000 0.20000000 24.00000000
0.40000000 0.40000000 0.20000000 24.00000000
0.50000000 0.40000000 0.20000000 24.00000000
0.50000000 0.50000000 0.20000000 6.00000000
0.30000000 0.30000000 0.30000000 8.00000000
0.40000000 0.30000000 0.30000000 24.00000000
0.50000000 0.30000000 0.30000000 12.00000000
0.40000000 0.40000000 0.30000000 24.00000000
0.50000000 0.40000000 0.30000000 24.00000000
0.50000000 0.50000000 0.30000000 6.00000000
0.40000000 0.40000000 0.40000000 8.00000000
0.50000000 0.40000000 0.40000000 12.00000000
0.50000000 0.50000000 0.40000000 6.00000000
0.50000000 0.50000000 0.50000000 1.00000000
